monthly_income,repayment_score,existing_debt,credit_history_years,late_payments,credit_score
155005,13,432233,19,2,559
234300,32,998481,8,4,493
243082,9,39253,2,4,406
155978,49,992217,11,7,490
125540,37,231181,19,11,489
169886,31,86967,16,8,514
116101,31,152996,4,5,409
15818,59,559152,7,9,397
23434,55,274637,18,2,615
136494,19,5337,3,1,440
202225,63,63281,14,10,577
45571,2,540323,18,2,457
55694,45,350998,14,8,468
109426,96,238913,13,6,673
133792,43,237798,15,10,486
60485,98,200390,9,10,556
158141,1,734694,13,8,362
72198,85,282028,19,5,694
113316,61,9074,10,7,534
184734,3,879317,1,9,300
103970,91,26907,18,10,653
198241,44,218597,2,8,422
87928,7,366867,3,2,350
162174,33,532912,10,6,468
179529,9,255160,12,8,406
102798,30,466641,17,1,577
67290,18,944760,17,11,354
137664,56,141527,18,6,621
158004,90,243808,11,4,689
26766,84,142266,0,7,454
103247,31,808054,5,3,417
28292,72,485740,2,0,530
232295,63,968473,16,10,576
193703,87,73106,2,9,539
237507,50,21487,0,7,462
87944,89,617,2,5,555
222302,1,110988,3,7,334
121446,82,387529,5,2,611
49533,19,106813,6,7,332
95773,64,637309,7,7,479
139433,53,661645,12,11,457
151850,6,557512,3,0,401
50059,17,983540,5,3,341
137418,46,974730,10,6,477
238169,72,28994,0,10,483
150938,73,324583,7,0,651
88965,55,968971,1,2,450
75661,91,626466,7,2,625
58352,6,809446,19,5,429
125051,70,332653,8,4,579
103373,68,594598,3,11,396
196808,86,736415,16,10,636
49075,40,982758,6,6,375
246461,91,440333,9,2,738
106931,66,246763,4,10,431
228023,9,514752,9,0,510
243594,11,979098,11,10,375
39104,20,741476,19,2,509
80827,43,875067,5,7,379
84222,58,312362,0,4,443
147714,78,261312,2,2,587
112013,26,832822,6,7,355
77845,38,954988,10,5,439
235758,94,304732,11,2,767
23769,36,900823,8,4,403
110369,99,13302,0,0,651
215517,55,448976,3,5,509
65375,6,527522,1,11,300
178150,3,661854,1,8,300
27268,65,190697,16,11,496
156916,64,931743,1,6,453
89174,58,856466,3,10,364
206835,58,780638,10,7,541
117677,18,371878,18,5,502
157305,23,595091,12,10,393
45496,96,448539,17,4,702
163878,29,143618,18,11,478
186398,23,679839,14,5,500
93807,36,560725,11,6,452
185585,70,709227,10,8,554
197833,81,665017,0,7,510
34465,82,612277,15,4,628
185574,95,100265,12,6,703
225468,6,898676,5,7,339
154322,34,279403,5,0,517
75503,44,914958,9,7,418
36310,44,946149,1,10,300
145301,27,849106,2,6,349
108518,52,995133,5,10,370
47206,42,205342,15,11,426
24764,25,724412,5,11,300
201668,74,773913,12,1,696
158914,39,801464,3,1,479
249099,39,872851,14,11,481
235651,12,222202,5,5,419
249579,11,695361,0,2,399
149048,3,26004,8,0,462
153498,22,799602,11,7,415
168959,4,890683,10,6,370
41710,8,475710,12,3,400
56387,14,279986,0,0,358
193542,84,892131,18,1,778
152558,88,484827,3,8,530
185330,14,943571,4,3,391
127418,92,855140,16,2,735
37623,16,969126,4,7,300
38806,32,560483,18,3,527
152045,64,128138,2,6,492
192287,76,958070,10,4,625
129162,16,7736,1,4,362
192011,52,572546,13,10,509
175229,19,358948,5,5,405
20521,69,829907,18,11,499
27891,12,568799,0,3,300
97331,93,266350,6,1,662
37474,5,903320,1,5,300
172579,42,19348,18,4,631
25687,17,56057,0,2,331
113550,72,691441,8,3,580
157081,94,375503,16,2,775
103762,10,117615,9,2,437
103484,84,500393,5,3,588
115475,16,979712,2,1,371
59291,16,418070,19,3,505
63296,42,280176,14,9,451
55225,3,316823,19,10,363
233710,23,783534,5,1,489
49828,86,160344,2,9,461
182174,28,369798,9,7,445
202414,45,761848,11,9,480
48712,68,638457,0,4,442
41823,24,297253,15,6,441
151433,19,50670,16,10,440
106374,75,493358,9,3,603
95174,40,312166,11,9,430
53052,46,398754,18,5,553
38265,40,568525,7,11,321
105287,62,664893,7,9,447
57012,18,977154,9,3,388
25916,12,988517,9,5,324
140462,14,795795,17,0,550
90045,82,208872,9,5,597
191604,61,46304,6,5,561
242710,12,246888,3,1,462
193731,27,536107,0,11,300
104860,6,536479,10,9,313
160075,88,6499,18,9,688
239551,33,587289,4,8,415
57634,80,634671,7,5,538
244709,50,541956,1,11,395
110479,12,664122,1,10,300
89992,95,883260,13,6,634
26369,57,674608,8,1,522
34329,53,890781,9,1,515
224826,13,700304,12,1,528
101700,72,207941,0,9,423
117960,3,378809,13,10,332
27410,64,261566,1,8,385
175802,84,882620,3,2,604
148737,58,631230,18,3,658
185971,4,13070,0,0,404
183775,45,615680,3,0,532
212023,66,97164,10,3,655
245083,36,693167,12,1,607
170244,23,875391,17,7,484
17684,19,441249,9,3,393
219102,40,418428,4,2,522
165822,72,625565,0,2,543
34887,16,4626,13,5,420
166898,58,49270,15,11,540
152252,18,827199,17,5,492
61779,36,847937,2,5,349
83095,24,2292,2,5,358
208360,1,378936,3,7,317
186977,1,801291,6,7,319
215579,64,423801,12,8,582
142510,62,999847,8,0,597
116261,36,397035,2,9,335
71068,75,635274,16,7,590
33113,18,525568,14,4,429
57861,16,456696,9,2,418
93487,17,471993,14,10,368
40617,24,145219,0,9,300
113330,98,740712,9,2,681
148655,68,246522,6,5,553
237236,99,722525,6,7,641
41250,79,497019,2,9,422
18055,2,795066,6,1,328
87337,95,330694,8,11,530
180498,73,141845,7,8,553
142615,10,673241,2,4,334
117255,53,979100,4,4,458
75532,89,663640,12,0,698
104376,51,59593,12,5,547
24933,69,156627,7,10,433
46979,14,303565,17,10,373
60047,66,609760,6,4,503
19137,82,158404,9,6,549
26423,93,306732,9,6,579
104851,53,879045,10,3,531
49482,84,925141,11,4,589
190228,64,90491,12,9,568
67483,72,86416,7,7,511
247723,49,308302,16,1,703
49754,90,578086,13,0,701
182384,62,969639,16,5,623
38363,37,671515,18,10,433
32085,49,986100,15,3,528
71889,68,963969,8,9,446
117090,33,834513,19,2,584
94951,22,974490,9,6,374
143227,70,318100,8,7,543
144925,33,826710,0,10,300
71414,28,68486,2,11,300
132159,88,184764,10,3,677
193124,4,833587,6,11,300
101934,66,89338,17,11,550
47691,77,661423,12,9,513
218267,49,341885,17,11,547
232252,11,568978,15,10,426
69697,35,913736,15,10,403
149116,39,681867,9,5,479
18883,10,7661,8,10,300
46712,74,167261,7,10,458
230932,72,231366,18,1,787
128655,69,144129,2,7,480
36545,23,216848,8,5,383
33204,34,361930,1,10,300
38268,32,952817,18,8,437
227370,16,299132,7,10,369
239979,68,143563,17,5,713
99383,54,322303,7,5,493
182211,28,819842,4,11,317
221724,60,341012,5,1,612
241733,78,193101,9,4,677
134755,76,558642,14,8,593
111940,60,346473,3,0,552
43436,85,6504,2,3,551
214396,80,356105,8,9,577
243757,44,816243,15,9,536
150197,2,966710,15,2,462
215214,23,803657,14,0,584
187606,93,498448,8,0,732
113524,46,751869,16,0,624
101842,73,627179,11,0,654
57973,54,254936,7,1,535
91369,71,92732,13,10,534
102533,93,150362,17,4,734
48521,81,775136,11,1,631
241556,9,501706,13,3,512
153560,70,731020,19,8,627
54974,44,496576,4,2,449
138900,84,235358,0,1,597
57448,74,788704,12,3,594
22938,73,137213,13,8,534
197185,12,327124,1,3,386
119262,97,843599,15,11,601
161842,32,942182,4,4,419
198707,34,861129,0,3,421
218243,83,656431,11,7,636
220237,33,148192,18,3,638
203894,64,91477,9,1,665
64934,48,235752,11,11,412
80526,16,679493,18,3,496
112204,50,921134,15,1,604
36487,23,852195,16,8,393
199391,26,637934,12,10,422
27869,54,865976,6,7,396
220827,44,185935,2,8,434
186869,37,972812,4,3,460
202370,9,282098,3,0,446
129576,94,385468,14,2,741
97209,13,892729,16,6,421
97299,60,342355,11,0,624
59933,80,849219,13,10,515
91579,2,656979,3,7,300
155642,95,864853,16,8,668
152958,60,198812,10,7,543
213566,57,601518,5,4,543
189159,43,634410,3,11,363
105177,19,171414,12,10,372
82719,11,402589,19,11,383
109606,78,273592,14,8,597
149846,47,967453,17,3,602
44018,89,162282,16,8,622
100839,63,418626,18,0,702
160344,7,196119,9,11,318
168658,79,255984,4,10,501
48545,94,946532,11,2,648
17566,31,199372,14,3,488
91489,88,829801,3,10,456
80355,55,195807,7,9,432
177768,25,904804,19,0,617
87940,72,273611,16,11,544
141731,30,139271,5,5,430
113382,36,27095,15,3,568
213189,50,633003,4,3,526
225674,14,229071,13,0,575
186807,29,301151,1,4,418
219447,27,785057,16,8,499
246538,50,118562,5,5,543
138865,36,965215,10,7,433
196709,34,800049,1,10,328
37129,21,552592,0,3,314
45845,38,986369,4,8,317
94449,75,96729,7,6,548
212572,97,186293,3,6,629
25739,79,732459,18,7,595
204244,76,71120,4,1,652
148745,88,598629,4,11,489
249669,50,877232,15,5,614
46171,37,74625,17,6,511
104179,75,931143,10,2,609
115022,19,155757,16,7,463
156696,1,520901,2,0,380
212836,81,589704,17,0,795
123906,40,113792,3,9,372
67930,55,60356,18,2,646
180680,80,273254,8,5,624
64649,26,623752,4,6,335
228528,43,241549,3,1,548
165761,59,970266,15,5,596
78503,51,676488,9,11,390
218732,15,629923,8,4,449
188196,8,538972,15,5,471
131659,94,444371,19,0,820
111875,14,113102,16,9,418
153659,97,810851,17,6,715
149599,7,784002,14,7,399
179139,18,656887,19,6,517
66538,12,932724,8,8,300
215571,2,416918,5,0,447
52455,50,370553,5,9,376
248547,93,782581,10,8,651
35243,21,552045,19,10,398
138793,7,833096,2,10,300
178765,91,209693,11,2,733
126371,12,912658,14,1,487
84231,84,801637,6,5,547
89648,57,775217,17,10,504
47059,78,322351,14,4,624
204939,74,545282,7,3,627
87778,23,489697,8,3,428
90477,30,645697,14,7,444
70283,58,254457,15,9,513
78853,95,86170,19,2,780
35001,52,108502,2,0,489
17700,56,30569,4,4,455
196229,10,882143,2,7,307
164157,19,110702,1,2,414
209955,19,268770,1,1,446
132990,87,625447,3,0,632
204219,59,528252,2,3,532
28339,44,253695,8,10,366
161906,59,964881,11,1,614
222692,96,374938,8,7,659
141378,84,280202,18,10,641
44543,4,222374,11,9,300
50930,97,242706,15,11,591
187146,65,166232,0,8,461
243510,13,147334,9,9,409
206745,67,367326,9,0,679
44044,12,768568,3,1,342
93673,93,493441,10,5,631
180977,55,749861,10,9,490
200076,61,666244,10,11,491
208833,95,783821,5,6,618
217556,41,4433,14,1,656
127997,36,345891,1,7,363
244175,2,338371,2,9,300
242797,22,817495,4,8,374
243479,22,819916,10,7,449
98725,41,873212,11,8,427
234405,95,614484,2,5,622
215177,14,954040,8,10,341
41012,93,292228,2,6,517
209768,35,638743,1,5,419
93513,50,286946,5,6,445
112585,9,773405,5,2,372
36694,96,238875,16,3,711
190460,59,581300,7,8,498
113760,56,638898,0,2,469
228440,91,774252,7,1,711
47835,10,413830,14,11,312
133777,25,463785,17,10,443
213470,45,332066,12,6,558
33186,97,208758,7,5,594
175617,11,8157,19,2,580
59391,9,573030,17,5,428
120858,7,227016,12,6,402
219927,71,531963,13,5,656
119199,34,288372,14,0,590
191860,83,804683,5,11,497
43401,20,23349,0,0,380
112764,89,129417,6,8,558
73611,5,311322,0,5,300
27202,93,867794,14,11,532
209440,55,776204,5,1,573
249891,91,766505,4,10,557
231730,89,205732,11,0,784
48135,15,137660,2,10,300
103121,48,620767,19,11,495
128944,4,769486,13,1,460
128765,78,653332,5,7,517
78535,81,87687,3,4,548
160969,21,652613,14,6,467
132328,80,63196,16,6,673
167363,90,508370,4,1,658
244434,9,32400,5,3,452
199480,66,515593,9,1,652
219902,79,275680,8,6,625
200165,35,395916,3,4,459
150579,88,746970,8,0,689
130473,51,991849,7,1,533
174926,78,932619,2,5,529
128056,37,708289,19,3,591
30475,6,700873,0,6,300
190977,82,608895,19,1,792
94870,86,562388,4,11,457
99366,82,219798,2,1,591
138836,51,414656,3,11,370
107814,66,222688,18,5,647
99285,96,503679,14,7,652
242119,17,557235,18,0,629
249077,65,335676,15,4,696
55185,9,240153,7,0,414
79398,13,342542,13,10,344
236680,58,59413,4,5,554
111682,30,234840,0,6,346
91593,31,416320,18,5,527
172499,23,258810,4,8,364
122518,63,344985,2,2,526
70535,28,560148,16,7,451
124626,59,979688,6,2,530
129190,10,464279,16,10,386
222644,89,386534,12,11,617
209762,90,503311,13,6,694
29060,26,538015,11,4,421
196713,77,226575,10,11,555
159679,17,519372,0,0,410
246710,40,875817,2,10,378
78560,68,920223,11,11,451
210285,23,778161,8,3,478
104610,35,507432,1,10,300
207848,75,375915,13,8,623
194936,76,668284,4,7,533
231381,9,795647,2,2,400
47970,79,245911,11,1,646
244606,45,614412,11,10,492
174282,37,615114,6,8,413
59088,69,584782,0,0,513
206107,19,703369,2,8,331
26683,75,871977,10,11,438
149034,73,949416,12,6,585
115631,99,254200,9,11,569
208320,27,787576,18,1,618
241608,13,905602,3,10,303
240745,57,430518,4,4,554
181624,60,650511,10,1,629
126789,12,866603,8,4,384
245179,9,230096,12,6,470
60321,92,971224,16,4,667
193422,77,380061,14,1,737
78565,84,459758,12,10,542
135454,77,381560,10,4,623
189933,27,732386,0,11,300
185236,90,158116,7,11,561
97095,63,727995,4,9,413
128610,93,241687,15,5,708
191035,29,642789,3,4,426
217299,22,537,18,1,639
18532,73,638521,17,5,597
129527,88,76552,1,5,560
166805,19,297597,12,11,383
98463,38,1980,15,1,598
189186,95,857874,7,3,670
225090,39,164379,18,6,612
238289,15,88966,2,0,480
20456,54,700204,18,0,624
18413,32,683989,16,10,387
22085,46,420991,8,11,347
174009,61,433245,16,10,562
35563,93,620222,0,5,496
220940,52,717220,3,6,477
52575,34,720143,14,11,374
22386,73,254435,11,4,570
237945,35,41988,16,11,517
115244,70,448668,11,9,524
74150,37,655411,15,7,466
175644,78,811250,12,10,559
141053,61,394902,10,3,592
245032,49,936709,14,2,642
181343,9,253880,15,6,467
195882,19,401312,5,3,443
210332,87,108336,10,0,761
91566,28,991656,14,10,380
159210,80,698447,4,7,526
144549,26,385718,2,4,394
193441,38,794977,1,7,383
161718,40,757354,0,7,365
43812,25,378521,14,11,356
103958,99,794916,1,4,567
91181,69,983756,19,7,598
29628,71,285811,5,6,476
39486,23,594399,11,2,444
234017,89,785695,15,3,757
138934,65,523931,13,10,523
54266,22,610780,3,11,300
103268,64,651288,7,6,497
61557,68,76206,11,3,596
231033,58,670997,13,5,617
223803,28,475098,19,11,501
230330,78,616764,12,1,729
31494,97,98941,4,11,477
167643,68,302891,11,1,670
49486,75,321893,9,2,596
234508,96,795923,18,9,718
76635,4,839532,12,6,346
146197,1,123569,8,2,421
63814,26,930135,10,11,307
138141,33,480686,4,2,458
165390,81,682542,12,3,673
77363,27,8903,9,9,374
58162,42,879154,17,5,514
142083,69,319926,14,0,705
22590,71,77261,19,5,636
49850,64,864038,11,7,487
158206,25,822541,3,11,300
145091,72,81604,4,7,520
40230,98,595374,7,5,585
30058,4,715796,4,5,300
94837,12,673527,0,2,326
118397,58,25443,17,1,687
42039,95,735584,18,6,666
211892,11,443856,18,7,496
53334,59,115155,9,9,454
58525,36,130560,8,5,437
141681,22,497103,0,4,356
99194,65,160620,19,3,683
174515,50,208721,2,0,548
18972,4,848790,12,8,300
79936,72,349969,5,10,441
106703,89,149232,5,9,529
225287,92,885817,17,3,778
124877,52,439421,4,1,525
44519,43,324424,16,3,553
237312,46,478061,2,10,407
117417,4,298996,4,4,338
243556,13,307165,2,1,453
225986,38,892364,12,6,521
90864,45,6195,14,2,590
70881,25,721907,16,7,436
39732,67,417502,14,3,599
163745,55,951085,4,11,383
90909,96,77674,13,10,610
20720,39,518412,10,4,446
74115,65,288863,13,2,620
130843,75,885008,6,10,465
66940,2,834882,2,4,300
151225,69,806460,19,8,620
86762,86,540480,9,10,519
214584,62,607924,10,1,653
184091,46,71812,5,6,487
247875,77,27551,4,9,558
99833,87,120920,19,7,691
162659,31,989868,12,2,524
33206,99,719671,11,10,544
106471,35,61444,18,3,590
110169,45,688484,18,10,492
25736,77,275798,4,9,437
121937,54,203,19,1,697
153043,71,675489,8,9,507
71577,69,640572,3,8,427
221115,29,334294,14,2,594
171796,72,768463,2,8,471
146003,8,688624,6,6,339
102702,54,930493,19,5,591
93694,7,389956,19,10,392
106310,83,180286,13,11,559
70155,23,460331,13,10,365
143491,32,979182,8,2,478
157180,62,188955,2,10,427
92613,45,446661,8,6,453
215783,68,725772,3,10,462
71938,30,368298,16,2,541
116163,39,200733,5,10,367
83498,5,510617,15,5,411
225224,67,922832,17,7,641
243861,22,390206,12,4,532
32751,28,704328,6,10,300
126161,22,697400,2,10,300
216818,86,321343,5,2,673
47390,98,843471,2,5,528
116213,29,863664,11,7,415
123712,43,625971,4,9,370
247781,42,575038,16,2,656
162065,60,16119,9,11,485
75403,77,286161,6,10,467
41859,71,179852,3,10,406
166950,74,157276,9,4,629
226531,92,412778,6,8,612
114124,68,941932,10,9,488
140940,59,256599,7,9,472
42100,96,21497,7,2,648
235694,86,265516,4,11,540
208356,84,612971,4,10,521
206048,84,803885,6,1,667
186095,6,637004,3,10,300
132350,73,314072,1,7,477
193781,28,820392,18,6,538
136792,77,17197,1,11,443
244179,31,99456,15,8,541
222625,39,186056,11,3,585
69524,50,518851,14,2,574
117757,78,657243,9,9,521
100049,86,278795,5,4,586
59974,37,527100,12,10,389
192550,88,95981,5,0,706
68768,72,242248,1,4,490
226468,15,268706,13,2,547
219694,51,465765,17,0,714
63544,70,522082,5,2,540
164122,23,783520,18,4,539
165856,25,332857,13,4,514
26774,95,806901,12,9,551
181040,46,180607,7,11,426
204308,93,454516,4,7,597
92678,23,379682,12,10,370
65135,10,96765,5,0,408
169079,73,487853,18,6,674
40158,77,879955,10,4,555
86587,32,88641,15,2,555
243184,51,220075,4,3,560
150187,41,607257,11,2,553
230632,65,280361,16,7,654
74317,65,96844,1,3,493
21371,40,140061,9,2,485
109226,18,692595,14,1,505
54355,36,609183,18,2,560
112956,31,726051,19,6,520
189447,54,187922,16,5,634
128538,63,522005,18,9,577
220688,1,515904,18,11,407
213491,52,767800,12,4,592
216429,57,181514,12,7,586
117126,9,335641,15,10,372
23338,86,679343,2,0,562
168079,92,269330,3,2,649
17477,90,400722,6,1,607
224743,74,434242,2,1,622
57423,56,701430,8,11,383
90973,47,180023,7,10,399
194172,3,882193,17,11,375
221110,2,648560,13,0,520
44236,54,794223,19,4,582
146440,37,192407,4,4,456
40839,56,93133,2,2,474
132537,31,72306,9,11,381
126902,97,796325,10,11,557
116051,96,156226,16,8,679
219170,12,89854,7,11,346
22139,58,443973,8,5,472
173213,67,716747,7,9,493
123314,26,171827,19,5,547
79262,78,891901,1,9,412
152776,12,931018,3,5,330
147959,90,424574,15,1,761
26975,16,219046,8,10,300
146616,53,387002,8,9,461
99984,72,627097,4,9,445
103366,49,486208,2,7,394
192395,49,547919,13,5,576
135491,92,267951,14,2,743
65382,7,989296,5,9,300
38926,15,780910,15,8,363
111538,36,473908,9,1,519
128117,72,654472,13,6,593
28333,74,536196,11,2,594
31942,15,679795,8,11,300
226292,62,783175,18,5,672
237696,18,987324,11,4,483
168519,46,586004,12,5,543
89397,61,30432,12,7,541
170905,43,997478,16,2,604
229062,44,100458,1,1,537
212658,99,695870,19,7,760
232030,66,407443,8,0,677
36530,55,473017,7,1,519
62060,86,215796,6,9,505
96292,79,673964,4,0,598
215630,39,356245,18,4,630
56104,5,491340,2,7,300
17634,57,893926,12,1,549
211282,15,228682,5,3,446
238753,91,738001,10,3,717
22288,16,25790,3,10,300
220600,57,779933,2,10,420
49253,82,482110,3,6,491
141628,99,424160,2,0,670
42005,25,939691,12,8,358
64824,22,707906,14,2,480
92702,31,921529,11,5,437
239673,34,679872,14,9,499
199646,87,409123,10,4,684
32798,16,473221,10,3,400
206784,70,824356,12,8,580
175373,59,571484,11,10,501
70267,15,931914,5,11,300
149966,82,174835,19,8,683
18846,13,452790,18,0,510
78571,24,365260,18,6,486
29481,13,664010,2,9,300
139908,65,835258,15,8,561
57154,36,943781,8,4,418
197248,49,320114,13,0,662
144447,82,657816,2,7,506
202700,48,409806,2,4,488
241829,97,814324,19,5,794
23048,43,804172,6,6,378
42386,6,176800,18,9,377
179408,81,798220,2,6,530
119794,68,351525,0,11,384
169925,14,728052,11,6,417
49713,30,899001,5,0,428
203762,84,663511,6,6,597
162863,8,812947,1,10,300
215836,54,666347,17,2,683
92481,66,733456,14,4,594
187645,4,317818,14,9,398
54899,74,723569,9,4,550
105217,84,309911,16,7,647
246594,60,115737,17,6,678
29975,53,203431,17,6,545
88247,99,301788,14,5,694
125295,74,511908,5,6,524
134045,92,825173,8,6,600
27105,15,851553,10,4,364
64645,1,729178,14,4,386
145291,22,434651,2,3,396
45146,91,401272,18,3,714
226846,93,755710,0,4,602
149940,15,218299,16,9,436
199609,74,499256,10,8,581
59294,84,749497,17,10,571
207336,22,969922,10,11,365
90596,50,86549,6,5,476
151505,48,428729,0,7,397
37612,73,482159,11,8,508
163894,51,286804,3,11,388
49120,96,2639,7,3,637
187076,17,611144,14,11,395
36294,83,983116,10,6,537
99300,91,858441,7,4,598
216168,51,272766,11,3,615
97119,37,118192,2,11,309
96096,98,280952,3,6,570
150496,49,448852,11,2,584
55615,59,464048,7,0,556
41863,10,916905,9,6,314
44469,30,285095,0,8,300
118101,85,641197,12,1,693
169256,21,197013,6,6,409
104446,34,247889,19,9,499
127613,73,176148,2,1,580
234012,98,645810,15,2,805
132456,50,932849,11,9,453
181247,76,131469,4,11,488
200721,47,538953,17,9,554
78872,85,538848,7,2,612
215399,84,288520,11,11,593
47208,6,413073,2,3,300
198517,50,719628,15,5,595
66998,63,884474,9,2,547
71994,12,894736,16,8,376
198535,41,758653,9,1,566
74895,31,151382,2,6,354
221237,2,804760,1,5,319
47894,16,172469,13,1,480
36990,1,693519,8,10,300
188652,4,382231,16,2,521
88230,47,753886,3,5,409
51087,65,968266,14,9,486
23673,52,728726,12,3,513
184271,47,714664,18,0,684
47187,99,573286,8,0,677
215986,77,905724,3,2,602
38553,50,326997,7,7,421
198359,45,102304,14,10,520
58780,42,412264,13,3,523
119794,95,312361,2,10,502
234132,84,963759,16,0,790
97158,56,480500,7,7,462
16420,71,189692,13,9,508
193512,57,726289,12,5,583
211948,33,777150,14,0,613
59310,28,154957,10,11,342
58953,44,852571,14,9,432
19987,56,333975,11,9,439
237670,44,958652,8,5,517
191589,84,531391,14,0,766
47456,96,942755,0,9,439
133763,73,800978,11,9,528
184252,34,255948,5,2,503
208309,14,146528,0,1,425
236916,68,280372,18,3,746
100398,29,997714,12,1,502
203577,79,262190,5,10,528
219278,17,328499,16,4,547
132183,83,429791,12,3,672
104782,9,740302,8,5,354
225374,27,394296,7,6,457
137740,49,986186,14,11,451
44681,79,640253,17,1,688
23323,37,863894,1,1,383
82393,28,15930,1,7,329
193295,50,899908,10,8,490
111123,55,80823,0,4,457
106354,4,957013,17,6,406
206904,85,362665,6,11,538
171319,98,775313,16,8,688
113808,19,723782,15,0,534
230148,37,78880,6,7,477
237445,4,218626,6,9,346
23484,37,172827,1,9,300
176754,51,707840,4,8,433
243315,32,7293,13,8,527
85459,45,592830,7,9,389
142162,12,60528,11,6,424
188091,41,417572,6,11,395
96456,56,108885,5,11,396
189335,80,954415,12,11,551
168010,14,145771,11,11,365
69890,54,159506,16,9,515
28319,63,578957,15,2,600
122697,65,279746,0,4,485
141193,58,171858,6,1,582
74432,96,796384,2,10,463
206844,21,828116,5,9,348
152972,4,116032,2,2,373
82696,73,947993,2,9,407
162308,46,557193,7,6,476
210327,86,840034,13,0,759
71485,12,177996,8,2,414
137359,30,537669,4,4,417
208365,94,250666,14,10,666
152293,96,996933,16,3,739
40294,60,290274,9,2,548
156110,71,554703,7,5,563
231259,81,180200,17,11,656
199721,65,84679,5,5,566
169432,14,115458,16,3,537
23255,44,131460,3,8,348
214307,26,601940,14,10,451
124429,91,150878,9,5,644
102464,16,64333,12,8,396
194241,7,760676,0,10,300
146444,32,110930,8,9,409
199251,89,523940,4,9,550
203721,95,266996,10,1,761
127848,16,770643,3,5,336
164970,78,401843,19,3,745
196155,89,714177,15,1,771
38855,62,684408,17,4,588
49758,30,362430,7,2,440
155679,71,747910,1,5,495
120094,12,113120,16,10,401
89089,67,600884,9,7,506
20383,91,766065,12,3,627
75112,46,388841,14,11,435
146787,83,451333,8,3,639
155909,43,780166,7,4,485
203958,55,794641,5,5,510
196771,45,577770,3,10,390
94486,60,824629,17,6,574
88528,71,339838,2,5,488
172889,80,673436,3,6,539
195875,32,117458,12,8,489
114354,8,987416,19,3,486
224965,77,119614,10,9,603
85278,62,478403,7,0,579
206417,75,451698,13,8,620
28369,20,613772,13,6,389
75428,18,673439,15,3,469
151116,6,931482,13,9,351
80123,84,706098,0,7,458
221896,96,799137,1,11,511
105914,29,420123,19,6,523
153333,4,840264,0,11,300
33064,71,349511,10,1,600
221407,43,316756,5,0,577
215130,84,633453,14,8,654
28690,34,859933,11,6,401
148129,71,10248,4,9,491
116025,33,833420,11,0,533
183661,15,89169,13,3,518
115867,96,619327,13,4,691
29559,86,7461,18,4,692
159764,40,158070,4,4,473
63429,93,668181,2,10,453
211810,89,544158,17,2,791
245317,5,537698,5,4,406
31972,78,87721,8,3,581
