transaction_amount,transaction_hour,location_risk,device_risk,previous_failed_attempts,is_fraud
141394,0,2,7,0,1
191137,21,5,3,2,1
64168,15,7,3,1,0
155121,14,1,6,2,1
16216,22,4,9,4,1
182224,16,2,1,6,1
51469,19,6,5,1,0
179989,12,1,1,0,1
103200,0,7,1,3,1
29755,7,3,3,0,0
188974,4,1,3,2,1
47732,5,8,4,3,0
145365,22,7,3,0,1
161948,19,2,6,0,1
174397,13,7,4,0,1
191182,21,3,8,5,1
196623,22,9,1,7,1
179984,10,8,8,3,1
18995,5,5,1,0,0
196954,10,7,1,7,1
152381,12,3,7,6,1
192979,11,1,1,6,1
23186,21,1,9,0,0
85737,1,2,8,2,0
158379,20,8,1,0,1
107434,2,1,2,6,1
152069,22,5,2,0,1
63183,3,9,2,4,1
95128,16,9,6,7,1
67057,21,2,4,3,0
97651,5,7,8,4,1
78606,6,1,1,7,0
138455,14,3,4,7,1
94124,10,6,5,5,1
81581,23,9,9,2,0
355,2,2,5,7,0
15587,5,7,3,4,0
19446,1,4,4,5,0
35150,13,2,7,1,0
8844,8,3,1,3,0
155928,17,6,6,0,1
61696,18,9,8,4,1
156318,11,8,1,4,1
119740,12,9,8,0,1
55132,11,4,7,0,0
42787,11,4,1,2,0
177275,17,9,9,4,1
153148,8,8,3,4,1
62963,16,2,2,6,0
131763,20,8,7,7,1
6377,15,1,3,1,0
61960,16,9,1,6,0
133432,20,9,3,5,1
197055,23,8,6,1,1
24841,7,5,3,6,0
119820,10,5,5,4,1
37311,23,3,9,1,0
172714,1,5,7,4,1
6969,7,4,2,3,0
87716,11,1,1,2,0
195904,20,9,7,1,1
94615,0,4,4,4,1
150594,22,3,7,1,1
166785,12,6,6,7,1
188188,21,1,7,7,1
60210,20,5,4,5,0
34133,16,7,3,2,0
45313,13,2,5,3,0
193165,13,9,3,0,1
13038,15,6,3,7,0
130942,16,2,4,0,1
2374,5,8,8,1,0
84490,6,8,2,4,0
162987,0,1,4,5,1
150133,14,1,3,7,1
20144,19,1,7,2,0
99472,20,4,2,3,1
153147,17,4,1,3,1
14806,12,8,1,7,0
137146,23,1,6,7,1
76564,1,3,3,6,0
21313,18,1,7,3,0
2050,14,9,8,0,0
10511,11,9,5,2,0
128703,14,7,5,6,1
177328,17,8,2,0,1
62844,13,1,8,1,0
148943,5,5,1,3,1
35153,11,2,9,2,0
183248,19,1,1,7,1
138217,22,3,1,3,1
57723,5,7,1,0,0
29814,8,1,7,0,0
165558,3,2,4,0,1
109383,16,2,7,3,1
8662,1,4,5,2,0
55148,15,3,7,2,0
93395,23,3,7,1,1
12126,13,5,4,3,0
106247,7,3,2,1,1
31689,13,7,8,5,1
108299,1,5,2,1,1
97374,15,4,9,1,1
26944,3,3,5,1,0
154619,0,4,9,7,1
90515,22,2,9,0,1
54808,19,1,8,5,1
195097,13,3,8,6,1
70925,7,2,4,7,0
51674,2,1,4,1,0
85648,4,1,2,2,0
149984,5,2,4,1,1
186481,21,9,4,0,1
64330,7,5,6,7,0
172800,5,9,3,4,1
40681,5,8,2,6,0
177800,3,6,8,5,1
25205,6,1,2,4,0
79930,23,5,8,4,1
69257,18,1,7,5,0
163614,6,7,3,3,1
87335,2,8,6,6,1
2447,7,8,6,7,0
47750,0,7,5,6,1
148282,0,2,8,2,1
193342,13,5,5,0,1
136095,5,4,7,5,1
182973,9,5,6,7,1
193943,13,9,7,4,1
125026,3,4,9,0,1
81247,5,8,3,0,0
48235,15,8,7,3,0
19299,20,2,3,4,0
140238,0,6,2,1,1
101683,5,5,7,0,1
183308,8,2,4,4,1
92390,14,4,1,6,1
167747,11,7,6,0,1
120887,2,1,6,3,1
177905,10,9,6,3,1
114527,14,1,2,1,1
148163,2,5,1,3,1
153725,13,7,3,7,1
87593,1,8,2,4,1
131806,3,2,6,5,1
12871,18,4,6,3,0
125707,11,2,5,5,1
149470,1,4,5,1,1
79976,16,6,9,6,1
167171,2,6,5,2,1
59748,9,2,6,0,0
193840,15,4,4,7,1
198681,21,4,1,0,1
75883,8,1,4,4,0
44540,10,2,2,1,0
31755,20,3,3,1,0
43139,14,5,7,1,0
55355,2,8,7,0,1
72319,15,6,1,3,0
186161,20,3,8,0,1
11344,20,6,7,0,0
94694,20,7,1,0,1
58695,11,6,8,6,1
170723,22,6,2,6,1
194402,4,1,8,3,1
103998,6,3,3,2,1
28471,8,7,7,4,0
160050,20,4,6,2,1
167329,17,4,5,2,1
6014,20,7,2,0,0
27280,7,9,2,7,0
134860,11,2,1,2,1
80319,19,9,9,0,0
78716,1,3,8,0,0
141088,9,6,8,4,1
187535,18,4,1,1,1
95313,8,1,5,0,1
158532,23,9,6,6,1
37905,7,6,2,2,0
144625,23,8,5,4,1
126699,23,2,6,5,1
153875,23,7,9,5,1
190193,0,6,1,5,1
74276,5,2,3,2,0
94899,11,2,9,1,1
98485,23,4,1,3,1
89019,18,4,1,7,0
138582,16,3,1,1,1
81562,1,8,7,7,1
179440,10,7,5,4,1
165420,17,2,6,1,1
31259,22,3,8,5,1
42139,21,9,2,1,0
47900,10,5,2,4,0
40861,17,2,3,4,0
94726,7,3,3,5,1
118468,14,8,3,6,1
174835,8,4,4,2,1
81003,14,2,3,7,0
171584,6,2,2,0,1
119098,19,6,9,3,1
166539,12,8,6,3,1
136985,12,7,3,5,1
59994,0,4,9,6,1
51544,19,2,4,3,0
165441,3,9,4,1,1
61848,23,4,8,4,1
41290,3,9,7,7,1
40418,3,5,7,6,0
168190,12,7,7,4,1
124178,1,5,5,5,1
39859,22,2,7,4,0
16598,14,6,4,7,0
26089,3,7,8,0,1
156740,5,6,9,4,1
117135,2,3,3,4,1
66677,6,8,7,6,0
105331,5,3,9,7,1
161271,2,5,1,1,1
90000,3,9,2,2,1
171811,9,5,7,3,1
104779,20,7,2,1,1
23582,8,7,7,1,0
69312,5,5,1,1,0
186433,19,2,3,3,1
30148,10,5,5,5,0
134237,6,7,6,1,1
133208,17,7,9,2,1
35914,3,4,9,5,1
190866,4,1,3,4,1
148096,3,6,8,2,1
129593,3,3,4,6,1
60304,12,5,7,7,0
32944,15,4,6,5,0
82043,13,2,8,4,1
21618,10,7,6,4,0
148231,1,5,4,1,1
23152,21,7,2,1,0
69903,13,9,7,3,0
71624,23,4,4,0,0
89672,23,5,9,2,0
139852,6,9,9,3,1
67121,10,4,7,3,0
20143,3,5,5,2,0
2519,6,5,3,7,0
188064,15,8,3,5,1
121931,5,4,9,6,1
101899,5,4,9,2,1
148312,1,7,4,4,1
174656,23,5,1,6,1
195041,7,6,5,7,1
176382,6,6,8,0,1
57700,23,6,4,7,0
116567,13,5,4,5,1
78597,8,5,9,1,0
108711,14,9,9,0,1
137659,21,8,7,0,1
60792,17,4,8,7,1
62212,11,7,4,1,0
162282,22,8,8,0,1
16460,18,9,6,5,0
180582,12,5,3,5,1
83138,6,3,7,5,0
3117,9,4,3,3,0
86361,9,6,7,3,0
191296,1,5,5,5,1
182121,13,9,4,1,1
189440,12,3,3,1,1
66420,21,2,8,2,0
31227,5,6,4,2,0
134368,8,7,8,7,1
75188,12,5,3,5,0
172472,8,1,9,6,1
180886,12,3,6,0,1
32021,4,3,5,0,0
4846,13,4,5,1,0
68635,4,6,3,6,0
65450,8,5,2,0,0
181517,7,1,6,7,1
180392,6,6,1,4,1
81231,7,9,7,3,0
22163,21,1,5,0,0
117216,2,8,4,0,1
89013,22,8,9,2,0
79046,23,3,1,4,0
177143,14,9,4,0,1
134770,7,8,3,3,1
10664,0,3,6,7,0
49825,6,5,5,0,0
86234,18,3,7,1,0
106040,1,5,1,4,1
191112,13,9,5,0,1
62185,17,4,2,6,0
17962,14,6,2,4,0
10365,13,3,2,0,0
140877,23,3,9,3,1
186451,18,5,3,7,1
62571,18,8,4,7,0
91180,21,8,5,3,1
194151,16,3,4,4,1
55928,21,8,4,5,0
116984,18,8,5,2,1
108107,15,3,9,2,1
46204,19,2,9,1,0
41034,18,2,6,5,0
114520,0,9,3,2,1
6150,18,7,6,4,0
175124,6,6,4,2,1
8584,22,7,3,1,0
62748,10,8,6,0,0
60045,4,1,6,2,0
184850,16,8,2,4,1
31423,10,3,9,4,1
86432,23,3,8,1,0
94705,7,6,6,7,1
166533,9,4,1,6,1
10415,11,4,2,1,0
48068,9,4,4,6,0
157691,12,9,7,3,1
9207,17,8,9,3,0
55881,9,3,5,7,0
3969,18,1,2,3,0
81083,19,1,1,6,0
158542,16,1,1,0,1
193867,19,4,5,4,1
191594,15,6,7,7,1
8071,4,4,9,3,0
96905,2,3,9,4,1
25751,14,8,8,1,0
57074,1,8,1,7,1
23546,12,6,5,0,0
169280,21,9,6,1,1
3923,7,1,6,4,0
144626,22,8,4,5,1
135104,16,6,1,6,1
141392,3,1,3,5,1
68065,18,4,4,3,0
159380,21,5,4,5,1
10610,8,7,4,1,0
175217,22,8,5,7,1
141709,14,9,9,6,1
106035,8,6,4,5,1
69234,23,9,9,2,0
72354,20,4,9,0,0
144954,8,8,1,4,1
114880,13,3,5,7,1
125644,22,4,9,6,1
65687,20,4,4,7,0
82338,15,6,5,3,0
75820,23,9,4,1,0
78104,22,6,2,0,0
22172,16,1,2,3,0
81115,12,5,2,1,0
72846,8,9,1,5,0
176874,14,5,3,6,1
102360,6,6,1,4,1
137229,0,3,4,6,1
128359,0,8,1,2,1
31016,4,4,4,7,0
27368,23,4,3,2,0
175150,8,5,9,7,1
23359,11,9,1,6,0
184755,5,8,8,5,1
79500,12,7,9,4,1
34393,7,5,7,0,0
111681,14,9,1,4,1
7143,5,9,4,5,0
181602,5,2,1,1,1
107109,3,4,4,6,1
38993,10,8,3,6,0
171814,20,1,2,6,1
162040,17,5,1,6,1
26409,2,8,6,0,1
23384,2,2,7,2,0
126901,11,2,6,5,1
113359,20,8,9,1,1
100904,20,9,9,5,1
69100,5,7,2,3,0
84279,20,8,2,3,0
193279,5,5,9,3,1
65149,7,1,1,2,0
29365,14,4,5,4,0
23980,17,2,1,0,0
84679,19,3,7,6,0
131427,15,3,9,2,1
132674,5,9,6,7,1
65524,20,4,2,1,0
71066,16,2,6,1,0
172538,8,3,9,3,1
158597,18,3,3,7,1
183500,17,7,9,0,1
67496,22,8,8,3,0
71794,4,6,7,1,0
136978,5,4,8,1,1
17206,11,6,6,6,0
56831,10,1,3,4,0
75110,15,8,7,6,0
32699,19,1,4,4,0
71426,16,5,5,6,0
75806,19,2,8,4,1
9104,8,6,7,3,0
115118,0,9,7,5,1
182536,2,5,8,7,1
25892,20,4,3,0,0
196084,22,2,3,4,1
54745,8,3,2,2,0
7332,21,6,1,4,0
54866,18,8,6,3,0
120701,12,8,6,0,1
81688,22,5,8,4,1
179714,13,5,6,6,1
6013,19,3,6,0,0
112506,18,7,1,2,1
113793,22,6,7,1,1
93549,6,1,7,6,1
10667,3,4,9,0,0
38479,11,6,7,5,0
419,22,6,8,4,1
90105,13,3,4,6,1
111090,1,6,9,3,1
4891,0,6,1,5,0
131501,17,9,8,7,1
61132,19,9,3,7,0
175250,7,2,1,5,1
88762,2,4,2,3,0
21400,5,9,6,3,0
75800,21,4,5,7,0
182117,12,8,3,3,1
55709,8,3,9,5,1
191734,8,3,8,0,1
90145,19,9,3,3,1
62001,8,8,2,1,0
5803,14,1,8,5,1
63215,12,2,5,5,0
27776,21,3,9,5,1
192882,15,2,1,2,1
191249,1,3,3,0,1
121432,13,8,5,0,1
176612,5,6,2,3,1
168095,1,7,3,5,1
29902,7,6,4,6,0
90431,3,1,4,5,1
194076,20,3,9,3,1
191334,23,1,1,0,1
124886,13,9,9,7,1
65269,10,9,9,3,0
68247,23,5,6,7,0
22175,13,4,1,3,0
82115,11,9,6,3,0
9404,15,9,8,3,0
129951,5,3,5,3,1
120829,19,5,5,4,1
59722,0,3,1,4,0
54315,11,2,1,5,0
74073,6,1,8,5,1
108754,7,2,5,6,1
143693,8,8,8,6,1
24128,1,8,2,4,1
39428,16,3,4,0,0
27401,19,7,9,2,0
38115,12,7,3,0,0
36945,4,2,6,6,0
86918,9,9,7,5,0
76494,11,3,3,4,0
175331,16,2,1,0,1
43814,20,3,2,2,0
80822,5,2,7,7,0
25330,2,8,7,3,1
92654,14,5,1,1,1
49362,6,3,7,4,0
41822,5,5,6,4,0
177531,3,8,6,2,1
62896,18,7,7,3,0
171331,4,6,7,3,1
87152,2,1,1,1,0
100908,8,1,5,7,1
136411,5,1,8,3,1
92051,12,8,8,7,1
50986,21,8,3,2,0
103524,19,7,3,7,1
158367,3,6,7,5,1
104797,1,4,4,3,1
96399,3,1,6,5,1
165846,7,9,9,6,1
149277,12,1,2,6,1
160911,9,4,2,5,1
163141,17,3,6,2,1
14597,8,7,3,4,0
132988,0,5,1,4,1
119015,12,5,2,4,1
92119,17,4,7,0,1
190426,14,1,4,4,1
109117,1,5,2,2,1
69485,10,4,8,1,0
105253,13,8,4,6,1
33926,21,2,4,3,0
110134,14,8,2,4,1
194537,13,1,1,0,1
84342,15,4,1,6,0
123166,22,3,3,7,1
50200,14,5,6,6,0
125270,18,5,7,5,1
135531,8,5,9,0,1
96305,4,4,5,2,1
12909,4,8,9,1,1
64550,10,3,8,4,1
38528,19,4,1,4,0
72890,23,1,3,0,0
111226,3,7,8,7,1
90421,19,1,9,2,1
2193,17,2,4,0,0
44598,2,7,6,0,1
116351,3,1,4,1,1
41085,13,3,9,2,0
32109,6,6,2,1,0
128615,7,6,6,2,1
17818,23,6,3,4,0
16805,15,2,4,3,0
87718,19,2,2,5,0
62698,14,6,8,3,0
77978,6,5,8,7,1
12339,16,7,1,7,0
46722,21,7,6,6,0
46765,21,5,1,2,0
32374,21,8,6,3,0
142591,11,6,7,0,1
108468,17,5,2,4,1
146175,23,4,9,7,1
162038,13,7,8,5,1
153160,14,4,9,5,1
187066,14,5,4,6,1
108663,4,5,4,5,1
136846,15,1,8,4,1
93203,4,1,1,3,1
66546,1,3,8,5,1
29172,19,3,7,7,0
33817,8,2,7,5,0
157823,21,2,9,2,1
117302,8,6,7,0,1
175463,3,1,2,2,1
122489,14,6,1,3,1
109625,10,5,1,4,1
194522,0,6,7,4,1
4746,17,5,5,2,0
39813,0,7,4,1,1
68036,7,1,5,2,0
175503,15,3,6,7,1
22285,21,6,6,1,0
84363,17,1,1,6,0
52207,21,7,2,2,0
197726,8,4,3,1,1
17663,11,3,4,1,0
70829,18,9,6,5,0
15801,17,1,9,6,1
179389,4,8,2,5,1
175782,1,1,8,1,1
181303,6,5,9,1,1
128431,9,8,2,0,1
160582,14,6,9,7,1
99380,6,7,7,1,1
189887,4,8,9,7,1
38765,14,6,6,5,0
16057,19,6,2,1,0
179299,19,6,8,4,1
194761,14,5,9,0,1
46108,9,8,8,1,0
62020,23,2,2,5,0
164047,13,7,8,5,1
113928,9,4,3,3,1
123952,16,1,3,5,1
132798,20,5,9,7,1
90915,13,3,9,0,1
194994,1,4,9,7,1
164814,15,7,4,5,1
38411,12,5,7,4,0
32456,8,4,8,2,0
3909,6,1,5,4,0
174543,15,6,1,6,1
34975,9,6,9,7,1
9565,23,7,6,4,0
197267,21,1,3,0,1
73944,8,4,3,0,0
196422,21,9,1,3,1
86989,22,6,8,5,1
15350,6,2,2,3,0
46123,15,4,1,0,0
101450,8,6,7,5,1
177796,23,4,9,0,1
16527,16,7,6,0,0
164448,19,3,8,2,1
71743,6,6,8,4,1
134611,10,4,9,3,1
78772,7,3,7,7,0
17400,6,3,9,3,0
60389,18,2,9,1,0
148354,19,3,1,6,1
182084,11,1,6,2,1
158081,6,3,8,0,1
19759,7,9,9,0,0
162575,6,4,4,2,1
164758,5,3,2,5,1
10460,8,8,9,3,0
21524,12,1,9,0,0
98135,6,5,8,6,1
48891,7,1,3,1,0
134237,21,7,5,3,1
199967,16,5,2,4,1
12400,16,2,3,7,0
33470,15,1,1,7,0
27309,21,7,4,6,0
21027,1,1,5,2,0
34679,7,3,2,3,0
9132,16,6,3,7,0
93354,12,6,6,4,1
78513,17,7,6,1,0
171903,23,1,7,5,1
113628,21,7,9,7,1
184939,9,2,4,2,1
124016,1,6,5,5,1
72402,1,8,2,7,1
181126,13,5,6,6,1
85857,15,3,4,0,0
156274,6,8,5,5,1
165605,20,8,7,0,1
16032,20,4,6,6,0
25814,23,8,8,7,1
57903,11,5,6,4,0
170915,22,5,8,3,1
133724,13,3,4,1,1
56727,3,7,7,4,1
177159,3,9,3,1,1
79910,17,9,1,5,0
45480,2,1,9,1,0
160422,0,1,9,5,1
199516,16,5,6,1,1
64786,6,1,2,2,0
120421,15,4,8,4,1
45128,4,1,6,7,0
146467,18,2,7,7,1
113241,6,2,1,2,1
55348,13,4,3,3,0
10623,1,8,1,7,1
45630,2,2,1,3,0
13869,16,9,1,0,0
194214,15,9,4,7,1
112135,7,2,7,0,1
175817,17,1,7,7,1
193314,14,9,5,7,1
156729,6,2,6,0,1
79882,8,8,2,6,0
78482,5,3,5,3,0
168257,17,1,7,1,1
181880,17,1,9,5,1
182529,23,2,6,6,1
111039,13,7,4,1,1
144642,13,6,3,4,1
78812,13,2,9,3,0
118743,3,4,7,7,1
107517,3,2,6,7,1
137977,14,1,7,7,1
128356,14,3,8,5,1
193200,17,4,5,5,1
181944,13,5,3,5,1
183276,0,5,3,0,1
101522,9,7,2,5,1
89400,19,8,8,5,1
6730,9,9,1,3,0
124574,9,7,8,1,1
98969,23,5,3,6,1
15801,1,9,9,6,1
146031,7,8,2,7,1
152355,0,9,9,1,1
171610,0,8,6,2,1
97385,3,6,1,2,1
117656,6,4,5,4,1
173416,8,9,9,3,1
15121,15,9,6,2,0
186737,4,9,7,2,1
179215,1,3,4,3,1
64461,22,3,1,1,0
132417,10,6,5,7,1
172183,17,6,2,4,1
10455,18,6,8,4,1
98941,12,5,4,4,1
179864,23,5,1,2,1
180176,10,2,7,1,1
160886,19,7,2,4,1
17298,18,4,3,3,0
67051,16,3,9,4,1
132824,4,8,9,6,1
174797,12,4,2,0,1
18840,19,4,3,1,0
3910,0,8,9,0,1
123843,9,1,1,1,1
147741,7,9,2,5,1
99955,23,7,2,3,1
26883,7,2,3,5,0
121801,18,6,3,2,1
78147,5,8,2,2,0
9571,11,5,8,5,1
110871,6,6,8,1,1
6263,15,8,8,4,1
194259,8,6,2,0,1
62171,20,9,9,3,0
16165,21,9,7,4,0
122423,9,9,5,2,1
118069,9,6,7,4,1
83556,9,9,8,7,1
179520,19,3,9,7,1
19254,15,5,2,5,0
105803,0,2,6,7,1
20329,16,8,9,5,1
52687,20,4,6,6,0
49813,13,6,2,6,0
158169,18,6,1,0,1
21201,20,5,3,7,0
40491,20,1,5,2,0
72823,16,7,7,1,0
190577,13,8,3,7,1
166120,7,1,9,3,1
100364,20,7,4,5,1
184203,20,4,2,7,1
38021,8,6,3,3,0
28560,7,9,5,2,0
152243,12,5,3,1,1
197290,16,8,5,6,1
179454,18,5,4,5,1
91825,6,2,3,0,1
58545,16,4,6,3,0
82308,0,2,8,7,1
185988,4,7,4,2,1
106383,5,7,9,3,1
85879,1,3,6,7,0
3160,15,7,5,6,0
125906,21,1,3,6,1
13831,4,1,5,1,0
77930,4,9,5,0,1
115971,11,6,4,6,1
20819,2,5,6,1,0
178214,15,6,3,6,1
49216,5,6,1,5,0
26425,14,1,7,4,0
153769,14,5,7,1,1
