age,monthly_income,loan_amount,credit_history_years,existing_debt,employment_years,debt_to_income,loan_approved
37,119131,1971672,13,610224,9,5.122293945320697,1
22,171193,1510049,3,495395,5,2.893780703650266,1
22,143563,1242503,5,759161,14,5.28799899695604,1
48,52487,1183754,0,605803,17,11.541962771733953,0
43,179433,1097380,9,208137,17,1.1599705739746868,1
57,36223,937553,11,579678,6,16.00303674460978,0
52,87930,1615116,0,747320,14,8.49903332196065,0
53,160128,856457,2,578432,17,3.6123101518784972,1
21,43380,1496250,7,144454,17,3.329967727063163,1
39,41035,1162186,7,528313,19,12.874692335810893,0
22,45620,1693707,10,436442,8,9.56690048224463,0
46,165949,681525,3,341524,1,2.058005772857926,1
52,132360,1575753,5,254043,7,1.919333635539438,1
26,68352,1803767,14,643198,19,9.410083099250937,1
52,176983,748787,7,462927,1,2.6156580010509485,1
24,178856,1585601,6,620343,10,3.4683935680100193,1
31,18191,1753163,10,388333,6,21.347534495079984,0
37,179232,1530298,6,730070,5,4.073323960007142,1
58,105536,1104244,12,797157,9,7.553413053365676,1
44,119576,1321118,3,557749,4,4.664389175085302,1
25,195795,228267,8,258072,10,1.3180724737608214,1
54,18631,1958241,11,565403,0,30.34743169985508,0
26,152244,205489,9,110084,1,0.7230761146580489,1
42,57080,394126,5,345876,0,6.059495444989488,1
31,105353,1728997,13,473006,18,4.4897250196956895,1
36,166353,1895759,11,341701,1,2.0540717630580754,1
53,43671,358362,10,684050,19,15.663712761329029,0
29,137811,963081,2,787839,3,5.716807801989681,1
26,197503,1892360,4,73568,11,0.37249054444742613,1
36,142734,1832988,4,58560,19,0.4102736558913784,1
49,174674,1187411,13,148866,17,0.8522504780333651,1
23,66399,1720357,4,150953,0,2.2734227925119352,1
40,169544,865359,7,741652,0,4.374392488085689,1
56,195302,1795030,8,761058,13,3.8968264533901342,1
39,22099,151948,12,226024,3,10.227793112810534,0
46,171503,1283770,8,180775,4,1.0540631942298386,1
23,71492,1652357,12,91288,10,1.2768981144743468,1
39,111722,1565331,5,471678,12,4.221890048513274,1
40,193756,343851,5,381164,15,1.9672371436239393,1
52,45111,1822750,8,774124,12,17.160426503513555,0
27,78936,1236944,3,14390,1,0.1822995844734975,1
53,168686,1255046,5,497619,15,2.9499721375810677,1
59,188063,347986,3,218547,5,1.1620946172293327,1
38,75920,63261,10,551595,13,7.2654768177028455,1
21,78530,1175285,0,227436,0,2.8961670699095885,0
31,182296,1718849,6,225121,16,1.2349201298986263,1
48,22788,418760,13,251063,10,11.017333684395295,0
45,43082,903605,9,24502,18,0.5687293997493152,1
43,138287,1392501,10,546774,2,3.9539074533397933,1
51,104570,325796,11,373957,10,3.5761403844314814,1
50,116015,1365823,5,693618,4,5.9786924104641646,1
55,98588,1386220,8,713076,16,7.232888383981823,1
27,162603,820692,6,228300,6,1.4040331359200016,1
36,103340,1723200,12,103920,9,1.005612541126379,1
46,109439,478745,6,736854,10,6.733011083800108,1
22,190929,687787,1,344912,2,1.8064935132955182,0
21,156214,723812,11,587073,19,3.7581330738602174,1
32,130053,885825,10,600338,9,4.616102665836236,1
25,63355,1522966,14,547026,9,8.634298792518349,1
57,155938,1556242,8,74231,13,0.4760289345765625,1
52,140426,740796,9,73606,11,0.5241621921866321,1
29,79027,1408126,8,486517,14,6.156338972756147,1
55,174210,375203,5,303806,9,1.7439067791745595,1
39,107601,1769890,12,380457,9,3.535812864192712,1
36,44956,394866,2,227369,18,5.057589643206691,1
23,119797,825107,0,493896,0,4.122774359958931,0
40,139917,586644,3,156688,9,1.119863919323599,1
44,141303,702416,13,495898,1,3.509465474901453,1
53,151511,1066003,13,273326,16,1.8040010296282118,1
44,193313,1100763,2,455229,6,2.3548804270794,1
31,57533,1962251,13,162403,6,2.8227799697564877,1
28,174342,1920106,11,701458,19,4.023459636805819,1
56,93815,1584263,0,26128,8,0.27850556947183286,0
58,54279,726585,2,31556,1,0.581366642716336,1
40,124787,1757542,13,258470,13,2.071289477269267,1
55,169960,1942628,13,677236,16,3.9846787479406918,1
45,163702,1524620,3,140021,0,0.855340802189344,1
55,76063,1224846,12,576250,8,7.575956772675283,1
45,142896,1899395,12,614342,19,4.299224610905833,1
49,181216,381607,14,517200,18,2.854052622285008,1
38,198233,1039336,13,202278,3,1.0204052806545831,1
38,197051,817286,7,548387,7,2.7829698910434355,1
22,112661,1079933,8,235943,12,2.0942739723595567,1
55,153051,970095,2,183683,3,1.2001424361814035,1
36,172261,1090950,5,694245,8,4.030192556643698,1
56,188672,815791,9,315288,8,1.6710905698778833,1
53,138257,1016020,10,196292,17,1.4197617480489233,1
24,101205,403827,14,532125,11,5.25789239662072,1
53,21910,1684925,4,180427,9,8.234915563669558,0
34,61857,1858361,5,178371,10,2.883602502546195,1
41,49964,1179833,3,772291,6,15.456949003282363,0
40,171299,111753,9,368946,8,2.1538129236014223,1
28,152050,921206,5,626701,5,4.121677079907925,1
27,32153,1502879,6,51012,18,1.5865393586912575,0
23,74765,1522608,8,130193,15,1.7413629372032369,1
37,123212,1121984,9,218168,14,1.7706716878226147,1
53,54071,174116,6,148178,6,2.740433873980507,1
32,127990,1072780,5,58123,15,0.45412141573560433,1
42,84519,705496,0,111825,4,1.323075284847194,0
42,24503,67413,1,533008,15,21.75276496755499,0
50,110457,687938,0,168733,0,1.527589921870049,0
58,162977,1158076,8,770391,18,4.7269921522668845,1
58,60838,920946,9,224970,4,3.697853315362109,1
28,140200,1154934,9,224866,6,1.6038944365192582,1
47,104489,116197,8,150862,18,1.4438074821273053,1
47,41806,543992,6,582943,4,13.944003253121561,0
54,191072,1846725,12,715003,16,3.74206058449171,1
41,168240,273492,1,617736,7,3.6717546362339517,0
50,85119,835833,5,178446,0,2.0964297042963382,1
53,53714,476070,10,698267,1,12.999720743195443,0
48,70419,126240,3,181143,14,2.5723597324585694,1
53,195217,285595,0,644795,19,3.302965417970771,0
25,120432,1621286,0,296956,17,2.465756609538993,0
39,107949,1843999,11,313045,10,2.8999342282003537,1
24,148533,1377042,4,60186,9,0.40520288420754985,1
55,160363,1998061,11,122066,3,0.7611855602601597,1
37,192876,1105544,1,390508,4,2.0246583297040583,0
48,91971,339662,3,705611,3,7.6721031629535394,1
50,108471,888357,0,720531,12,6.642614154935421,0
49,79946,240920,3,36160,12,0.4523053060816051,1
26,113989,948332,10,19156,17,0.1680513031959224,1
55,99080,929854,5,76208,1,0.7691562373839321,1
57,92794,1362420,9,473196,15,5.099424531758519,1
44,45841,1978790,3,465536,0,10.15545036103052,0
49,139447,282076,0,673289,18,4.828278844292097,0
51,135029,1121775,6,459822,8,3.405357367676573,1
55,194830,487805,13,231226,2,1.1868090129856799,1
53,91272,213187,1,455775,6,4.993590586379175,0
41,52643,505150,8,447421,9,8.499154683433694,1
52,196480,559551,12,766054,0,3.898890472312704,1
43,58950,1612518,2,461691,9,7.831908396946565,1
53,115500,1808252,7,719701,8,6.231177489177489,1
23,174116,1104096,12,305007,14,1.751745962461807,1
38,140588,1732678,7,737197,14,5.243669445471875,1
45,30997,217527,2,65439,2,2.111139787721392,0
51,94751,820644,3,662554,4,6.992580553239543,1
23,113605,697652,1,726747,8,6.397139210422076,0
44,169983,1637819,3,645649,8,3.79831512563021,1
52,70533,1273697,10,212986,6,3.019664554180313,1
42,97566,1767853,10,197286,11,2.022077363015805,1
43,160643,1037797,10,492508,8,3.0658540988402856,1
22,123255,1570373,13,29777,5,0.24158857652833557,1
47,73005,300144,8,256427,1,3.512458050818437,1
22,58541,114925,1,681543,8,11.642148237987051,0
46,38387,419360,11,420661,16,10.95842342459687,1
37,108980,644557,11,198110,0,1.817856487428886,1
53,194980,998458,12,349345,18,1.7916965842650527,1
29,100457,1040121,2,414627,5,4.127407746598047,1
59,159129,1402178,14,705937,4,4.436256119249163,1
49,79028,1449757,10,278011,1,3.517879738826745,1
46,134246,1775049,10,586789,8,4.370998018562937,1
55,70731,1198553,14,145338,13,2.054799168681342,1
45,170930,1604414,3,690568,3,4.040063183759433,1
44,194761,1617739,4,501754,3,2.5762549997176025,1
33,59638,533442,0,645832,14,10.829202857238673,0
27,192558,880371,6,424429,7,2.2041618629192246,1
56,35567,1127921,13,662727,3,18.633199313970817,0
40,175811,829976,9,779518,15,4.433840885951391,1
21,72804,1470827,6,559650,3,7.687077633097083,1
28,123821,1059869,8,250449,15,2.0226698217588295,1
36,18754,1884662,3,313732,11,16.72880452170204,0
34,42044,543814,13,169357,15,4.028089620397679,1
32,82260,381310,13,650971,18,7.913578896182835,1
43,81912,1801797,5,780445,7,9.527846957710715,1
35,23706,147406,10,205827,5,8.68248544672235,0
48,23894,1410018,1,202918,9,8.492424876538044,0
54,164109,1014725,11,298451,4,1.8186144574642462,1
22,98986,1405662,11,342424,17,3.4593174792394885,1
52,96942,1626317,13,413083,9,4.261135524334138,1
43,197684,1725675,3,740045,9,3.7435756055118268,1
42,44725,629223,1,107669,6,2.4073560648406933,0
45,151998,434583,9,732318,17,4.817944972960171,1
42,119555,1797306,4,158998,0,1.3299151018359752,1
42,24496,1071436,14,627503,6,25.616549640757675,0
26,71447,844760,6,622995,0,8.719680322476801,1
35,116604,1114110,12,406396,14,3.485266371651058,1
57,175878,1970288,0,617125,3,3.508824298661572,0
53,103199,1052429,14,245847,19,2.3822614560218605,1
28,56321,1659184,9,227544,9,4.040127128424566,1
25,168728,1672034,9,267614,8,1.586067516950358,1
59,70147,1199122,6,227467,1,3.242718861818752,1
24,106396,654489,9,146025,13,1.3724670100379714,1
26,195738,1096439,12,759940,15,3.882434683096793,1
52,53787,808761,5,512177,0,9.522319519586517,1
50,36727,1369360,5,615781,1,16.766438859694503,0
55,110081,281324,11,792955,6,7.2033775129223026,1
36,137721,534273,7,217995,9,1.582874071492365,1
33,83056,1783985,7,712550,19,8.579151415912156,1
50,149153,1497410,5,293313,0,1.9665243072549663,1
39,180268,1332188,2,569929,12,3.1615650032174316,1
37,182807,1809989,4,154062,0,0.8427576624527507,1
39,95102,969424,1,553949,4,5.8247881222266615,0
48,171570,356081,14,668779,15,3.8979949874686715,1
46,91865,775084,13,627907,14,6.835105861862516,1
57,177728,1241855,4,338246,16,1.9031666366582642,1
46,82695,1295422,13,557373,15,6.740105205877018,1
43,183972,738332,8,97064,12,0.527602026395321,1
29,132235,1502591,9,706014,10,5.339085718607025,1
32,193773,776448,0,399346,16,2.060895996862308,0
21,123777,472132,9,630011,16,5.089887458897857,1
21,34033,120463,4,133114,1,3.9113213645579292,0
54,156877,143500,11,491638,12,3.1339074561599216,1
52,181923,1306348,5,557765,13,3.0659399855983027,1
45,41832,611446,13,638449,10,15.262215528781795,0
21,130725,1183183,10,684076,9,5.232939376553834,1
36,160016,819305,6,340281,2,2.126543595640436,1
59,34873,383840,8,139133,16,3.9897055028245347,0
25,55372,897942,5,663969,14,11.991060463772303,1
42,104464,170076,4,297515,8,2.8480146270485527,1
49,161451,1157268,11,765710,9,4.742677344829081,1
23,132322,705129,6,345165,7,2.6085231480781728,1
32,182823,767104,12,414021,12,2.2646001870661787,1
46,115082,852242,0,270001,17,2.346161867190351,0
36,20110,972630,10,666980,4,33.166583789159624,0
57,27087,211081,13,532465,5,19.657584819286004,0
42,169834,1210294,4,423327,16,2.492592767054889,1
49,97617,1451652,14,251842,10,2.579898993003268,1
34,115483,574480,1,350722,19,3.037001117047531,0
48,24596,297536,3,614229,15,24.972719141323793,0
25,122539,86413,6,782409,8,6.384979475921951,1
50,33313,1242464,4,536114,1,16.093236874493442,0
25,128175,1661946,11,669250,4,5.221377023600546,1
32,129914,901480,5,344572,0,2.6523084502055205,1
36,38705,1745994,1,510283,3,13.183903888386514,0
46,88445,625228,2,650332,3,7.352953813104189,1
46,118892,1786066,6,713391,2,6.000328028799246,1
41,17023,614430,10,512656,8,30.115490806555837,0
59,134654,1621356,1,505350,11,3.752952010337606,0
56,95073,86468,11,337164,9,3.54636963175665,1
53,107197,998202,5,529783,1,4.942143903280876,1
50,79429,716015,4,28481,10,0.3585718062672324,1
57,119195,1277545,9,666627,9,5.592742984185579,1
43,48848,1521867,0,761062,5,15.58020799213888,0
30,183876,976863,11,137815,17,0.7494996628162457,1
25,161451,965480,10,627763,1,3.8882571182587906,1
56,42766,1593989,14,704133,1,16.464785109666558,0
54,83099,1334763,9,319186,9,3.841032984753126,1
51,182132,92056,10,49476,15,0.2716491335954143,1
30,84122,101831,3,747465,11,8.88548774399087,1
39,162159,895623,10,290696,0,1.7926602902089923,1
52,63868,823952,1,720602,7,11.282676770839858,0
21,134119,958380,3,438988,15,3.273123122003594,1
25,169297,476488,0,684308,17,4.042056267978759,0
24,110286,682405,1,207383,12,1.8804109315778974,0
36,21643,326815,12,69093,14,3.192394769671487,0
44,51727,1387768,7,593411,11,11.471977883890425,1
36,157077,1043778,5,16535,7,0.10526684364992965,1
22,124079,1910971,1,328634,9,2.648586787449931,0
48,80697,618242,11,570850,13,7.073992837404116,1
52,31029,1564101,14,381186,4,12.284830320023204,0
47,160298,283192,5,256323,17,1.5990405369998377,1
40,174803,1456150,9,258916,18,1.4811873938090308,1
44,124458,575005,8,713895,14,5.736031432290411,1
32,125384,1372396,6,230063,5,1.8348672876922096,1
55,83926,1496226,8,41269,10,0.49173081047589545,1
53,152069,1279458,4,80674,10,0.5305091767552887,1
53,70506,1217272,6,285291,19,4.046336482001532,1
57,93229,1062140,10,438744,19,4.706089306975297,1
32,195887,54994,14,601383,17,3.070050590391399,1
23,57092,840666,13,768460,17,13.460029426189308,0
21,77539,119300,6,724291,9,9.340989695508068,1
53,167889,356093,11,90925,1,0.5415780664605782,1
30,183933,611693,11,590669,8,3.211326950574394,1
49,28428,1395592,2,623756,13,21.941606866469677,0
33,190006,1402935,6,242330,18,1.2753807774491333,1
32,156330,1646049,0,13731,9,0.08783342928420648,0
51,72775,1797378,8,386791,3,5.314888354517348,1
22,20469,566479,9,491874,5,24.030191997654992,0
55,43854,1543551,12,575312,13,13.118803301865281,0
43,152328,1926161,5,641000,3,4.208024788614043,1
37,91256,389679,4,101121,14,1.1081024809327606,1
46,180009,1756517,6,265976,15,1.4775705659161487,1
28,114134,1150293,4,556620,6,4.876899083533391,1
49,147723,1101339,9,12467,16,0.08439444094690739,1
46,196360,405054,4,41025,18,0.20892748013852108,1
30,99730,1154056,10,144179,18,1.4456933721046827,1
46,171123,1792695,9,77994,16,0.4557774232569555,1
54,42386,1305715,10,94202,5,2.222479120464304,1
27,162256,1216670,6,567769,10,3.499217286263682,1
24,48787,730667,9,395797,15,8.112755447147805,1
31,36621,801731,14,599406,7,16.367821741623658,0
49,92984,1633928,6,386154,10,4.152908027187473,1
56,191325,1175424,12,444854,6,2.325122174310728,1
45,49051,1660412,10,648002,18,13.210780616093453,0
41,64811,1266593,14,748987,9,11.556479609942757,1
56,45447,842908,2,160185,8,3.524655092745396,1
30,143046,494972,2,84363,3,0.5897613355144499,1
57,176326,1975109,9,325188,14,1.844243049805474,1
29,99045,1625246,11,211027,12,2.1306173961330708,1
44,131859,492899,12,273958,1,2.077658711199084,1
55,160544,531215,14,361484,1,2.2516194937213476,1
55,18471,750636,2,272168,15,14.734881706458774,0
56,135312,1583673,5,718648,8,5.311044105474755,1
38,154401,1602092,11,582124,12,3.770208742171359,1
59,180937,470162,14,269579,2,1.4899053261632502,1
52,61850,1702562,5,255095,8,4.1244139046079225,1
44,69220,820050,12,481632,12,6.957989020514302,1
43,108808,1866245,12,261176,1,2.400338210425704,1
52,152469,1041437,2,383015,7,2.5120844237189197,1
57,181597,95095,2,249717,8,1.3751163290142459,1
32,68072,1571722,7,658767,15,9.677503231872135,1
33,98820,442118,7,32940,1,0.3333333333333333,1
43,38284,1912205,6,529954,5,13.842701912025912,0
45,98369,1644874,9,299266,7,3.0422795799489677,1
55,40122,1515915,3,156164,4,3.8922287024575044,0
50,145349,400067,14,206717,8,1.4222113671232688,1
37,85553,1756826,3,363334,0,4.2468878940539785,1
40,109788,1491246,2,362612,8,3.3028381972528873,1
45,77812,1207738,4,26505,9,0.3406286948028582,1
42,22999,433071,2,561001,3,24.39240836558111,0
33,37436,320170,12,447603,2,11.95648573565552,1
39,57963,1425645,7,204354,9,3.525593913358522,1
56,148168,1691706,6,601799,14,4.061598995734571,1
32,171351,1394385,12,212204,10,1.2384170503819645,1
39,123899,321421,2,250694,13,2.0233738771095813,1
32,41201,223311,8,249836,5,6.063833402101891,1
29,165787,490880,11,758849,11,4.577252739961517,1
27,175381,884440,13,528168,12,3.0115462906472197,1
48,161150,1899691,12,436670,16,2.709711448960596,1
34,20105,706030,4,567827,15,28.243073862223326,0
51,132666,1318859,8,240056,2,1.8094764295297967,1
39,109848,723249,6,219057,1,1.9941828708761198,1
36,17839,1547404,14,539087,10,30.2195750882897,0
25,83920,749895,6,507800,8,6.051000953288846,1
55,58619,390686,5,104843,2,1.7885497876115253,1
32,57821,1415039,1,443942,17,7.677867902665121,0
45,140736,295144,8,48784,19,0.3466348340154616,1
41,159565,1977075,5,113034,14,0.7083884310469087,1
56,32069,1775575,7,434044,13,13.534690822913094,0
43,22531,1294360,0,724886,1,32.17282854733478,0
36,183123,984137,4,54362,16,0.2968605800472906,1
59,153808,826505,11,53997,7,0.3510675647560595,1
59,153782,1002164,0,181413,9,1.179676425069254,0
34,82155,381119,9,412289,17,5.018428580122938,1
51,160047,1261820,10,364543,18,2.2777246683786636,1
25,77424,502413,13,740686,7,9.566620169456499,1
55,60603,1199734,7,468731,7,7.734452089830536,1
43,169324,1026351,7,784752,2,4.63461765609128,1
49,147503,1896585,0,413532,2,2.8035497583100004,0
31,183553,913731,8,157255,11,0.8567280295064641,1
38,107573,856608,1,548912,16,5.102693054948732,0
32,155629,1162548,11,717875,3,4.61273284542084,1
29,118302,956450,8,759072,16,6.416391946036415,1
30,146234,1581583,0,478997,13,3.275551513327954,0
37,180814,1532795,11,570993,18,3.1579025960379172,1
58,34675,332140,9,613614,8,17.696149963950973,0
27,88997,1723786,13,419972,11,4.718945582435363,1
33,163087,1971606,13,68369,4,0.4192179634182982,1
29,196129,1658795,8,201893,10,1.0293888206231614,1
47,178663,698456,3,271733,19,1.520924869726804,1
22,155905,1265358,8,637300,2,4.08774574259966,1
25,22896,1221675,6,700146,14,30.57940251572327,0
49,179044,608981,10,750046,13,4.189171376868256,1
57,64733,158944,5,647999,10,10.01033475970525,1
58,56800,1847519,14,76425,19,1.3455105633802817,1
39,111044,1830438,4,496297,7,4.469372500990598,1
28,20347,1902382,10,540282,3,26.553398535410626,0
21,148715,297572,8,111915,11,0.7525468177386275,1
42,55785,1442191,1,385105,7,6.903379044546025,0
37,33681,1668777,13,483414,5,14.35272111873163,0
27,196098,247097,12,104672,14,0.5337739293618496,1
45,118864,880948,10,279349,11,2.3501564813568447,1
24,161964,662084,13,318821,15,1.9684683015978859,1
56,62299,338213,11,32930,15,0.5285799130002087,1
26,32073,1023737,1,73313,19,2.2858167305833565,0
51,117304,1183387,10,749211,19,6.386917752165314,1
39,45682,1288697,11,113153,3,2.4769712359353795,1
59,139302,1855756,14,485725,10,3.486848717175633,1
